X,Y,Z,B0
-0.02,0.01,-0.04,0.044237
-0.015,0.01,-0.04,0.044171499999999995
-0.01,0.01,-0.04,0.04412
-0.005,0.01,-0.04,0.044079
0.0,0.01,-0.04,0.044064
0.005,0.01,-0.04,0.0440615
0.01,0.01,-0.04,0.044068
0.015,0.01,-0.04,0.0440965
0.02,0.01,-0.04,0.04413200000000001
0.025,0.01,-0.04,0.044180000000000004
-0.025,0.015,-0.04,0.0442705
-0.02,0.015,-0.04,0.0442375
-0.015,0.015,-0.04,0.044179500000000003
-0.01,0.015,-0.04,0.0441255
-0.005,0.015,-0.04,0.044101749999999995
0.0,0.015,-0.04,0.044075
0.005,0.015,-0.04,0.044069250000000004
0.01,0.015,-0.04,0.0440695
0.015,0.015,-0.04,0.044103250000000004
0.02,0.015,-0.04,0.04415
0.025,0.015,-0.04,0.044206
-0.02,0.02,-0.04,0.044264
-0.015,0.02,-0.04,0.0442005
-0.01,0.02,-0.04,0.044152
-0.005,0.02,-0.04,0.0441145
0.0,0.02,-0.04,0.044091000000000005
0.005,0.02,-0.04,0.044063000000000005
0.01,0.02,-0.04,0.044073
0.015,0.02,-0.04,0.04411
0.02,0.02,-0.04,0.044159
-0.015,0.025,-0.04,0.0441805
-0.01,0.025,-0.04,0.044123
-0.005,0.025,-0.04,0.04408
0.0,0.025,-0.04,0.044058
0.005,0.025,-0.04,0.04405866666666667
0.01,0.025,-0.04,0.044063
0.015,0.025,-0.04,0.044101999999999995
0.0,0.03,-0.04,0.044085
-0.005,-0.035,-0.035,0.044095499999999996
0.0,-0.035,-0.035,0.044091000000000005
0.005,-0.035,-0.035,0.0440765
-0.015,-0.03,-0.035,0.0441695
-0.01,-0.03,-0.035,0.044114999999999994
-0.005,-0.03,-0.035,0.044101666666666664
0.0,-0.03,-0.035,0.044088
0.005,-0.03,-0.035,0.044087
0.01,-0.03,-0.035,0.0441
0.015,-0.03,-0.035,0.044131000000000004
-0.025,-0.025,-0.035,0.044318250000000003
-0.02,-0.025,-0.035,0.04425233333333333
-0.015,-0.025,-0.035,0.044200166666666665
-0.01,-0.025,-0.035,0.04415
-0.005,-0.025,-0.035,0.044126428571428566
0.0,-0.025,-0.035,0.04411
0.005,-0.025,-0.035,0.04410457142857143
0.01,-0.025,-0.035,0.044114
0.015,-0.025,-0.035,0.04413733333333333
0.02,-0.025,-0.035,0.04417866666666666
0.025,-0.025,-0.035,0.044229250000000005
-0.025,-0.02,-0.035,0.04427600000000001
-0.02,-0.02,-0.035,0.0442675
-0.015,-0.02,-0.035,0.0442175
-0.01,-0.02,-0.035,0.0441745
-0.005,-0.02,-0.035,0.04414525
0.0,-0.02,-0.035,0.044121
0.005,-0.02,-0.035,0.044114999999999994
0.01,-0.02,-0.035,0.044123
0.015,-0.02,-0.035,0.0441475
0.02,-0.02,-0.035,0.044180000000000004
0.025,-0.02,-0.035,0.04422333333333333
-0.03,-0.015,-0.035,0.044375
-0.025,-0.015,-0.035,0.044323833333333326
-0.02,-0.015,-0.035,0.04427625000000001
-0.015,-0.015,-0.035,0.044228625
-0.01,-0.015,-0.035,0.044187
-0.005,-0.015,-0.035,0.044151499999999996
0.0,-0.015,-0.035,0.044135
0.005,-0.015,-0.035,0.04413125
0.01,-0.015,-0.035,0.0441315
0.015,-0.015,-0.035,0.044154874999999996
0.02,-0.015,-0.035,0.04418925
0.025,-0.015,-0.035,0.04422816666666666
0.03,-0.015,-0.035,0.044258
-0.03,-0.01,-0.035,0.044364
-0.025,-0.01,-0.035,0.044317666666666665
-0.02,-0.01,-0.035,0.044273
-0.015,-0.01,-0.035,0.04423075
