X,Y,Z,B0,Bx,By,Bz
20,15,-35,0.045707957,-0.045423533,0.004885965,0.001430856
25,15,-35,0.045693316,-0.04540667,0.004902684,0.001441239
30,15,-35,0.045676442,-0.045388154,0.004915897,0.00144457
-25,20,-35,0.045704919,-0.04543331,0.004824124,0.001217284
-20,20,-35,0.045714939,-0.045442589,0.004825787,0.001240358
-15,20,-35,0.045722675,-0.045449984,0.00482226,0.00126796
-10,20,-35,0.045727188,-0.045454058,0.004818578,0.001298328
-5,20,-35,0.045728433,-0.045454658,0.004818579,0.001320969
0,20,-35,0.045727062,-0.045451612,0.004826752,0.001348176
5,20,-35,0.045722819,-0.045445269,0.004840514,0.001368641
10,20,-35,0.045716579,-0.045436166,0.004861572,0.00138763
15,20,-35,0.045707919,-0.045424699,0.00488207,0.001405677
20,20,-35,0.045697067,-0.045411333,0.004900847,0.001419324
25,20,-35,0.045685056,-0.045396999,0.004919411,0.001426953
-25,25,-35,0.045702654,-0.04543268,0.004807528,0.001221397
-20,25,-35,0.045707587,-0.045436811,0.004810063,0.00124218
-15,25,-35,0.045711451,-0.045440019,0.004809702,0.001268141
-10,25,-35,0.045713789,-0.045441573,0.004809729,0.001296296
-5,25,-35,0.045713615,-0.045440378,0.004813725,0.001317061
0,25,-35,0.04571141,-0.045436195,0.004825115,0.001342937
5,25,-35,0.045706715,-0.045429,0.00484305,0.001361842
10,25,-35,0.045700704,-0.045419786,0.004867769,0.00137919
15,25,-35,0.045692713,-0.045408711,0.004891767,0.001394128
20,25,-35,0.045683957,-0.045397342,0.004912427,0.001404753
25,25,-35,0.045675296,-0.045386236,0.004933132,0.001409405
-15,30,-35,0.045697802,-0.045427911,0.004794486,0.001267635
-10,30,-35,0.045696903,-0.045425711,0.004799665,0.001294184
-5,30,-35,0.04569479,-0.045422085,0.004808263,0.001314745
0,30,-35,0.045691875,-0.045416911,0.004823355,0.001336771
5,30,-35,0.04568738,-0.045409538,0.004845564,0.001353165
10,30,-35,0.045681313,-0.045400101,0.004872768,0.001367231
15,30,-35,0.045675515,-0.045391013,0.004899585,0.001379366
-5,35,-35,0.045672829,-0.045401212,0.004798842,0.001307033
0,35,-35,0.045668916,-0.045394266,0.004821179,0.001329194
5,35,-35,0.045664588,-0.045386808,0.004846531,0.00134288
0,-40,-30,0.045653605,-0.04537959,0.004780771,0.00144523
-15,-35,-30,0.045657163,-0.045376297,0.004859661,0.001397124
-10,-35,-30,0.045661494,-0.045382666,0.004836316,0.001412704
-5,-35,-30,0.045665126,-0.045388676,0.00481161,0.001421373
0,-35,-30,0.045667706,-0.045392851,0.004792624,0.001434992
5,-35,-30,0.045669077,-0.045395189,0.004780815,0.001444004
10,-35,-30,0.045668482,-0.045394728,0.004776332,0.001454504
15,-35,-30,0.045666519,-0.045392423,0.004774674,0.001470168
-25,-30,-30,0.045645897,-0.045362624,0.004892322,0.001358491
-20,-30,-30,0.045658365,-0.045375602,0.004885884,0.001367175
-15,-30,-30,0.045667234,-0.045386224,0.004866221,0.001380882
-10,-30,-30,0.045674509,-0.04539575,0.004841185,0.001396279
-5,-30,-30,0.045679719,-0.045403173,0.004817586,0.001406959
0,-30,-30,0.045682502,-0.045407492,0.004798769,0.001422155
5,-30,-30,0.045682647,-0.045408406,0.00478784,0.001434389
10,-30,-30,0.045680748,-0.045406597,0.004783214,0.001446565
15,-30,-30,0.045676826,-0.045402525,0.004779969,0.001461206
20,-30,-30,0.045671415,-0.045396707,0.004778744,0.001476734
25,-30,-30,0.045665693,-0.045389823,0.004783906,0.001494569
-30,-25,-30,0.04562745,-0.045344959,0.004890127,0.001336247
-25,-25,-30,0.045647995,-0.045365083,0.004894297,0.001339599
-20,-25,-30,0.045664583,-0.045382441,0.004885595,0.001348743
-15,-25,-30,0.045677154,-0.045396765,0.004866175,0.001362511
-10,-25,-30,0.045686504,-0.045408029,0.004843571,0.001381067
-5,-25,-30,0.045692005,-0.045415689,0.004820154,0.001393053
0,-25,-30,0.045695336,-0.045420281,0.004803178,0.001411128
5,-25,-30,0.045694971,-0.045420561,0.004793076,0.001424588
10,-25,-30,0.045691963,-0.045417527,0.004789223,0.001437734
15,-25,-30,0.045686434,-0.045411785,0.004786592,0.001452098
20,-25,-30,0.045678777,-0.045403687,0.004785668,0.001467393
25,-25,-30,0.04566984,-0.045393823,0.004789404,0.001482121
30,-25,-30,0.045661089,-0.045384007,0.004795458,0.001493504
-30,-20,-30,0.045627746,-0.045345979,0.004888927,0.00131598
-25,-20,-30,0.045651646,-0.045369627,0.004891449,0.001320407
-20,-20,-30,0.045671022,-0.045389836,0.004881868,0.001331321
-15,-20,-30,0.045685691,-0.045406116,0.004863324,0.001347221
-10,-20,-30,0.04569645,-0.045418692,0.004841447,0.001366896
-5,-20,-30,0.045703076,-0.045427145,0.004820753,0.001380566
0,-20,-30,0.045706139,-0.045431243,0.004805503,0.001400152
5,-20,-30,0.045705511,-0.045431026,0.004797313,0.001414694
10,-20,-30,0.045702031,-0.04542729,0.004795305,0.001429005
15,-20,-30,0.045695174,-0.045420158,0.004793225,0.001443328
20,-20,-30,0.045685873,-0.045410179,0.004793961,0.001460341
25,-20,-30,0.045674979,-0.045398538,0.004796712,0.001472425
30,-20,-30,0.04566284,-0.045385429,0.004802343,0.001481637
-35,-15,-30,0.045600673,-0.045320548,0.004876981,0.001297824
-30,-15,-30,0.04563196,-0.045351095,0.004885261,0.001299314
-25,-15,-30,0.045657826,-0.045377087,0.004884229,0.001304366
-20,-15,-30,0.045678342,-0.045398476,0.004873972,0.001316675
-15,-15,-30,0.045694205,-0.045415738,0.004856971,0.001334518
-10,-15,-30,0.0457051,-0.045428277,0.004836238,0.001355966
-5,-15,-30,0.045712116,-0.045436804,0.004818214,0.001370853
0,-15,-30,0.045714954,-0.045440458,0.004804781,0.001391338
5,-15,-30,0.045714234,-0.045439939,0.004798482,0.0014063
10,-15,-30,0.045709815,-0.045434908,0.004799511,0.001421605
15,-15,-30,0.045703157,-0.045427832,0.004798712,0.001436335
20,-15,-30,0.045692762,-0.045416653,0.00480057,0.001452821
25,-15,-30,0.045679922,-0.045402989,0.004804206,0.001464051
30,-15,-30,0.045665062,-0.045387279,0.004809045,0.001471695
35,-15,-30,0.045649452,-0.045370511,0.004815865,0.001482121
-35,-10,-30,0.045606222,-0.045327029,0.004873243,0.001280399
-30,-10,-30,0.04563797,-0.045358236,0.004879168,0.001283951
-25,-10,-30,0.045663864,-0.04538432,0.004877023,0.001290985
-20,-10,-30,0.045684609,-0.045405858,0.004867041,0.001305181
-15,-10,-30,0.045700231,-0.045422711,0.004851326,0.001324016
-10,-10,-30,0.045711332,-0.045435252,0.004832172,0.001346785
-5,-10,-30,0.045718333,-0.045443519,0.004816239,0.001362512
0,-10,-30,0.045720776,-0.045446391,0.004806448,0.001383083
5,-10,-30,0.045720318,-0.045445982,0.004801226,0.001399455
10,-10,-30,0.045715897,-0.045440732,0.004804509,0.001414151
15,-10,-30,0.045708241,-0.045432295,0.004806896,0.00142955
20,-10,-30,0.045697096,-0.04542036,0.004808979,0.001445393
