X,Y,Z,B0,Bx,By,Bz
0,10,-20,0.045756860353212934,0.001781270204544,9.82374924607575e-06,0.0457221745910645
0,10,-15,0.045764562247655266,0.0017958930206298,1.25795489177108e-05,0.0457293097229
0,10,-10,0.045770685055117576,0.0018088980445861,1.51508715189993e-05,0.0457349239501953
0,10,-5,0.04577427776373964,0.0018227816123962,1.79055153727531e-05,0.0457379672851562
0,10,0,0.045776799730059874,0.0018375201330184,1.94084255322814e-05,0.0457399009246826
0,10,5,0.04577757567131058,0.0018497460851669,1.91182313263416e-05,0.0457401848297119
0,10,10,0.0457762902655848,0.0018606934404373,9.67864402383566e-06,0.0457384573059
0,10,15,0.04577401702503741,0.0018728451652526,-6.54897926095873e-06,0.0457356867523193
0,10,20,0.0457695940419103,0.0018811736459732,-2.13443652242422e-05,0.0457309137115479
0,10,25,0.04576341191282754,0.0018910474672317,-3.3549245968461e-05,0.0457243117370606
0,10,30,0.04575604528836827,0.001906538908,-3.75101370215416e-05,0.0457162923126221
0,10,35,0.0457469560676922,0.0019232391166687,-3.56832627952099e-05,0.0457064969940186
0,10,40,0.0457363241755733,0.0019454672460556,-2.77549544647336e-05,0.0456949202423
0,10,45,0.045725725486786384,0.0019701430292129,-2.14287567734718e-05,0.0456832578582764
0,15,-45,0.04566386535083948,0.0017022859134674,0.0001137865878343,0.0456319830169678
0,15,-40,0.04568367191543021,0.0017291773786544,7.72605270445347e-05,0.0456508691711426
0,15,-35,0.04570306606406123,0.0017428023443222,5.29044530242682e-05,0.045669794052124
0,15,-30,0.04572009413814154,0.0017587815780639,3.72052900195122e-05,0.0456862376556396
0,15,-25,0.045734469820638876,0.0017712834558486,3.09413246810436e-05,0.0457001458129883
0,15,-20,0.04574619859202532,0.0017861956157684,2.91459212377667e-05,0.0457113043060303
0,15,-15,0.04575545734904619,0.001801234465599,2.83725232258439e-05,0.0457199806060791
0,15,-10,0.04576325090028447,0.0018143653306961,2.83606945797801e-05,0.0457272610931396
0,15,-5,0.04576829767526431,0.0018288121261596,2.85464627742767e-05,0.0457317362823486
0,15,0,0.04577156287360668,0.0018430027627944,2.74153535664082e-05,0.0457344351348877
0,15,5,0.04577277957194676,0.0018559117736816,2.48616057187319e-05,0.0457351322631836
0,15,10,0.04577240494008219,0.0018673107109,1.25410759486258e-05,0.0457342983703613
0,15,15,0.04577047620236685,0.0018798077526,-5.9612810020335e-06,0.0457318573760986
0,15,20,0.04576673962672395,0.0018884450883865,-2.26070978045464e-05,0.0457277565612793
0,15,25,0.04576204020113116,0.0018987885589599,-3.63717360496521e-05,0.0457226158752441
0,15,30,0.04575533176652453,0.0019145204219818,-4.10385368317366e-05,0.0457152415771484
0,15,35,0.04574717111070162,0.0019330563402175,-3.91184162795544e-05,0.0457062952728272
0,15,40,0.04573721100173053,0.0019560838031768,-2.98360179811716e-05,0.0456953533325195
0,15,45,0.04572520133527176,0.0019833528671264,-1.88418630063534e-05,0.0456821627502442
0,20,-45,0.0456363514100888,0.0017122613248825,0.000141922624588,0.0456039975128174
0,20,-40,0.04565932637808115,0.0017367094488143,0.0001079131092429,0.0456261578521728
0,20,-35,0.045680942785468255,0.0017493801965713,8.18183269202709e-05,0.0456473603668213
0,20,-30,0.04570129690673283,0.0017663000650405,6.24955194592476e-05,0.0456671087036133
0,20,-25,0.04571854337650506,0.0017776888513565,5.28780369311571e-05,0.0456839384765625
0,20,-20,0.045732991476252254,0.0017922855014801,4.80595938563347e-05,0.0456978326873779
0,20,-15,0.045744104559283356,0.0018064406766891,4.54108361899853e-05,0.0457083997955322
0,20,-10,0.04575351821008394,0.0018198886299133,4.16170930117369e-05,0.0457172910614
0,20,-5,0.045759815278604024,0.0018337754144668,3.89157799333334e-05,0.0457230406646729
0,20,0,0.045763859239240076,0.0018489826765,3.63568252921104e-05,0.0457264776000977
0,20,5,0.04576615842589989,0.001861967508316,3.08466788381338e-05,0.0457282558441162
0,20,10,0.04576623830041648,0.0018733683958,1.62109621167183e-05,0.0457278776702881
0,20,15,0.0457648011426044,0.0018860792818,-3.8646613068413e-06,0.0457259194946289
0,20,20,0.04576260275396496,0.001895149860382,-2.26235090047121e-05,0.0457233387451172
0,20,25,0.04575888743335719,0.0019061770114898,-3.79117887169123e-05,0.0457191516876221
0,20,30,0.04575496771356798,0.0019225283308,-4.32366139739752e-05,0.0457145391082764
0,20,35,0.04574951758692609,0.0019412123298645,-4.04076715260744e-05,0.0457082970733643
0,20,40,0.04574266929950116,0.0019657997245788,-2.72462658882141e-05,0.0457004013519287
0,20,45,0.045735308160976845,0.0019960257148742,-6.41674138326198e-06,0.045691730682373
0,25,-40,0.04563596407491597,0.0017380562391281,0.0001397607191205,0.0456026407623291
0,25,-35,0.04565668003595329,0.0017554862613678,0.0001119477490186,0.0456227812347412
0,25,-30,0.045678557897025615,0.0017668046798706,8.8863469004631e-05,0.0456442894134522
0,25,-25,0.045698673229003485,0.0017824597406387,7.53138717114925e-05,0.0456638358001709
0,25,-20,0.04571599856595848,0.0017971366720199,6.7883761793375e-05,0.0456806109466553
0,25,-15,0.04572960569734753,0.00181057106781,6.26237287819386e-05,0.0456937057800293
0,25,-10,0.045740618241843015,0.0018241577615737,5.61034937798977e-05,0.0457041951904297
0,25,-5,0.04574878462145514,0.0018384681148529,5.19663569182158e-05,0.0457117996673584
0,25,0,0.04575408358646518,0.0018535469036102,4.66475675702095e-05,0.0457164997863769
0,25,5,0.04575659477211321,0.0018665702438354,3.83764827549458e-05,0.0457184908752441
0,25,10,0.045757226094446095,0.0018781704912185,2.18374701291323e-05,0.0457186585388184
0,25,15,0.04575729511354339,0.001891087677,-6.74594028623687e-07,0.0457182003479
0,25,20,0.045755807884737244,0.0019003386163711,-2.19376733601093e-05,0.0457163229827881
0,25,25,0.04575446428303093,0.0019113472337722,-3.91742308139801e-05,0.0457145077514649
0,25,30,0.045753465752100785,0.0019282652378,-4.44714229851961e-05,0.0457127929992676
0,25,35,0.045752909114350794,0.0019462962970733,-4.06129456013441e-05,0.0457114752960205
0,25,40,0.0457544247988378,0.0019687424297332,-2.21049725785852e-05,0.0457120438537598
0,30,-40,0.045612783910248846,0.001741262310028,0.0001719259794354,0.0455792113037109
0,30,-35,0.0456284262500604,0.0017596500711441,0.0001405992237925,0.0455942665863
