coordinate_x,coordinate_y,coordinate_z,y_probe
89.65,-19.06,-40,438.65
91.15,-9.58,-40,438.49
95.39,0,-30,438.67
94.87,9.97,-30,438.64
93.31,19.83,-30,438.68
90.72,29.48,-30,438.75
87.14,38.8,-30,438.83
82.61,47.69,-30,438.97
77.17,56.07,-30,439.23
70.89,63.83,-30,439.41
63.83,70.89,-30,439.5
56.07,77.17,-30,439.72
47.7,82.61,-30,439.94
38.8,87.14,-30,439.95
29.48,90.72,-30,440.21
19.83,93.31,-30,440.33
9.97,94.87,-30,440.39
0,95.39,-30,440.41
-9.97,94.87,-30,440.43
-19.83,93.31,-30,440.37
-29.48,90.72,-30,440.27
-38.8,87.14,-30,440.2
-47.69,82.61,-30,440.03
-56.07,77.17,-30,439.97
-63.83,70.89,-30,439.69
-70.89,63.83,-30,439.45
-77.17,56.07,-30,439.22
-82.61,47.69,-30,439.1
-87.14,38.8,-30,438.85
-90.72,29.48,-30,438.89
-93.31,19.83,-30,438.74
-94.87,9.97,-30,438.66
-95.39,0,-30,438.71
-94.87,-9.97,-30,438.74
-93.31,-19.83,-30,438.86
-90.72,-29.48,-30,438.98
-87.14,-38.8,-30,439.09
-82.61,-47.7,-30,439.37
-77.17,-56.07,-30,439.52
-70.89,-63.83,-30,439.78
-63.83,-70.89,-30,440.02
-56.07,-77.17,-30,440.25
-47.7,-82.61,-30,440.53
-38.8,-87.14,-30,440.63
-29.48,-90.72,-30,440.81
-19.83,-93.31,-30,440.9
-9.97,-94.87,-30,440.98
0,-95.39,-30,441.03
9.97,-94.87,-30,441.04
19.83,-93.31,-30,441
29.48,-90.72,-30,440.86
38.8,-87.14,-30,440.69
47.7,-82.61,-30,440.58
56.07,-77.17,-30,440.3
63.83,-70.89,-30,440.11
70.89,-63.83,-30,439.86
77.17,-56.07,-30,439.58
82.61,-47.7,-30,439.39
87.14,-38.8,-30,439.15
90.72,-29.48,-30,438.96
93.31,-19.83,-30,438.84
94.87,-9.97,-30,438.72
97.98,0,-20,438.77
97.61,8.54,-20,438.76
96.49,17.01,-20,438.81
94.64,25.36,-20,438.84
92.07,33.51,-20,438.91
88.8,41.41,-20,439
84.85,48.99,-20,439.18
80.26,56.2,-20,439.26
75.06,62.98,-20,439.42
69.28,69.28,-20,439.57
62.98,75.06,-20,439.78
56.2,80.26,-20,439.96
48.99,84.85,-20,440.17
41.41,88.8,-20,440.33
33.51,92.07,-20,440.37
25.36,94.64,-20,440.43
17.01,96.49,-20,440.56
8.54,97.61,-20,440.64
0,97.98,-20,440.59
-8.54,97.61,-20,440.65
-17.01,96.49,-20,440.58
-25.36,94.64,-20,440.54
-33.51,92.07,-20,440.43
-41.41,88.8,-20,440.33
-48.99,84.85,-20,440.26
-56.2,80.26,-20,440.06
-62.98,75.06,-20,439.84
-69.28,69.28,-20,439.72
-75.06,62.98,-20,439.67
-80.26,56.2,-20,439.43
-84.85,48.99,-20,439.31
-88.8,41.41,-20,439.26
-92.07,33.51,-20,439.02
-94.64,25.36,-20,438.93
-96.49,17.01,-20,438.87
-97.61,8.54,-20,438.81
-97.98,0,-20,438.76
-97.61,-8.54,-20,438.9
-96.49,-17.01,-20,438.91
-94.64,-25.36,-20,439.04
-92.07,-33.51,-20,439.09
-88.8,-41.41,-20,439.22
-84.85,-48.99,-20,439.47
-80.26,-56.2,-20,439.67
-75.06,-62.98,-20,439.83
-69.28,-69.28,-20,439.99
-62.98,-75.06,-20,440.2
-56.2,-80.26,-20,440.42
-48.99,-84.85,-20,440.63
-41.41,-88.8,-20,440.75
-33.51,-92.07,-20,440.83
-25.36,-94.64,-20,440.9
-17.01,-96.49,-20,440.97
-8.54,-97.61,-20,441.02
0,-97.98,-20,441
8.54,-97.61,-20,441.05
17.01,-96.49,-20,441.01
25.36,-94.64,-20,440.96
33.51,-92.07,-20,440.93
41.41,-88.8,-20,440.83
48.99,-84.85,-20,440.64
56.2,-80.26,-20,440.44
62.98,-75.06,-20,440.22
69.28,-69.28,-20,440
75.06,-62.98,-20,439.78
80.26,-56.2,-20,439.54
84.85,-48.99,-20,439.38
88.8,-41.41,-20,439.15
92.07,-33.51,-20,439.07
94.64,-25.36,-20,438.96
96.49,-17.01,-20,438.8
97.61,-8.54,-20,438.71
99.5,0,-10,438.67
99.12,8.67,-10,438.63
97.99,17.28,-10,438.72
96.11,25.75,-10,438.81
93.5,34.03,-10,438.86
90.18,42.05,-10,439.01
86.17,49.75,-10,439.24
81.51,57.07,-10,439.24
76.22,63.96,-10,439.46
70.36,70.36,-10,439.6
63.96,76.22,-10,439.8
57.07,81.51,-10,439.99
49.75,86.17,-10,440.17
42.05,90.18,-10,440.35
34.03,93.5,-10,440.39
25.75,96.11,-10,440.54
17.28,97.99,-10,440.54
8.67,99.12,-10,440.63
0,99.5,-10,440.67
-8.67,99.12,-10,440.72
-17.28,97.99,-10,440.63
-25.75,96.11,-10,440.49
-34.03,93.5,-10,440.48
-42.05,90.18,-10,440.37
-49.75,86.17,-10,440.24
-57.07,81.51,-10,440.12
-63.96,76.22,-10,439.94
-70.36,70.36,-10,439.84
-76.22,63.96,-10,439.64
-81.51,57.07,-10,439.43
-86.17,49.75,-10,439.28
-90.18,42.05,-10,439.1
-93.5,34.03,-10,439
-96.11,25.75,-10,438.92
-97.99,17.28,-10,438.81
-99.12,8.67,-10,438.78
-99.5,0,-10,438.74
-99.12,-8.67,-10,438.71
-97.99,-17.28,-10,438.81
-96.11,-25.75,-10,438.94
-93.5,-34.03,-10,439.14
-90.18,-42.05,-10,439.29
-86.17,-49.75,-10,439.4
-81.51,-57.07,-10,439.53
-76.22,-63.96,-10,439.8
-70.36,-70.36,-10,439.95
-63.96,-76.22,-10,440.18
-57.07,-81.51,-10,440.38
-49.75,-86.17,-10,440.61
-42.05,-90.18,-10,440.68
-34.03,-93.5,-10,440.79
-25.75,-96.11,-10,440.89
-17.28,-97.99,-10,441.02
-8.67,-99.12,-10,440.99
0,-99.5,-10,441.12
8.67,-99.12,-10,441.05
17.28,-97.99,-10,441.16
25.75,-96.11,-10,441.05
34.03,-93.5,-10,440.93
42.05,-90.18,-10,440.81
49.75,-86.17,-10,440.61
57.07,-81.51,-10,440.41
63.96,-76.22,-10,440.25
70.36,-70.36,-10,440.07
76.22,-63.96,-10,439.81
81.51,-57.07,-10,439.6
86.17,-49.75,-10,439.48
90.18,-42.05,-10,439.23
93.5,-34.03,-10,439.04
96.11,-25.75,-10,438.94
97.99,-17.28,-10,438.84
99.12,-8.67,-10,438.67
100,0,0,438.7
99.62,8.72,0,438.77
98.48,17.36,0,438.63
96.59,25.88,0,438.76
93.97,34.2,0,438.88
90.63,42.26,0,438.98
86.6,50,0,439.06
81.92,57.36,0,439.25
76.6,64.28,0,439.48
70.71,70.71,0,439.59
64.28,76.6,0,439.83
57.36,81.92,0,439.97
50,86.6,0,440.14
42.26,90.63,0,440.34
34.2,93.97,0,440.42
25.88,96.59,0,440.57
17.36,98.48,0,440.64
8.72,99.62,0,440.59
0,100,0,440.72
-8.72,99.62,0,440.63
-17.36,98.48,0,440.62
-25.88,96.59,0,440.62
-34.2,93.97,0,440.51
-42.26,90.63,0,440.4
-50,86.6,0,440.32
-57.36,81.92,0,440.17
-64.28,76.6,0,439.96
-70.71,70.71,0,439.79
-76.6,64.28,0,439.61
-81.92,57.36,0,439.44
-86.6,50,0,439.3
-90.63,42.26,0,439.11
-93.97,34.2,0,439.06
-96.59,25.88,0,438.86
-98.48,17.36,0,438.78
-99.62,8.72,0,438.82
-100,0,0,438.71
-99.62,-8.72,0,438.81
-98.48,-17.36,0,438.83
-96.59,-25.88,0,438.9
-93.97,-34.2,0,439.07
-90.63,-42.26,0,439.18
-86.6,-50,0,439.39
-81.92,-57.36,0,439.54
-76.6,-64.28,0,439.7
-70.71,-70.71,0,439.92
-64.28,-76.6,0,440.12
-57.36,-81.92,0,440.3
-50,-86.6,0,440.46
-42.26,-90.63,0,440.73
-34.2,-93.97,0,440.74
-25.88,-96.59,0,440.87
-17.36,-98.48,0,440.95
-8.72,-99.62,0,440.89
0,-100,0,440.95
8.72,-99.62,0,440.93
17.36,-98.48,0,440.91
25.88,-96.59,0,440.94
34.2,-93.97,0,440.77
42.26,-90.63,0,440.76
50,-86.6,0,440.57
57.36,-81.92,0,440.31
64.28,-76.6,0,440.18
70.71,-70.71,0,439.92
76.6,-64.28,0,439.75
81.92,-57.36,0,439.53
86.6,-50,0,439.38
90.63,-42.26,0,439.18
93.97,-34.2,0,439.06
96.59,-25.88,0,438.89
98.48,-17.36,0,438.74
99.62,-8.72,0,438.63
99.5,0,10,438.44
99.12,8.67,10,438.47
97.99,17.28,10,438.53
96.11,25.75,10,438.54
93.5,34.03,10,438.65
90.18,42.05,10,438.76
86.17,49.75,10,438.95
81.51,57.07,10,439.1
76.22,63.96,10,439.32
70.36,70.36,10,439.49
63.96,76.22,10,439.63
57.07,81.51,10,439.86
49.75,86.17,10,439.98
42.05,90.18,10,440.12
34.03,93.5,10,440.23
25.75,96.11,10,440.41
17.28,97.99,10,440.42
8.67,99.12,10,440.49
0,99.5,10,440.51
-8.67,99.12,10,440.56
-17.28,97.99,10,440.49
-25.75,96.11,10,440.4
-34.03,93.5,10,440.45
-42.05,90.18,10,440.29
-49.75,86.17,10,440.19
-57.07,81.51,10,439.99
-63.96,76.22,10,439.81
-70.36,70.36,10,439.62
-76.22,63.96,10,439.45
-81.51,57.07,10,439.34
-86.17,49.75,10,439.05
-90.18,42.05,10,439.04
-93.5,34.03,10,438.88
-96.11,25.75,10,438.77
-97.99,17.28,10,438.68
-99.12,8.67,10,438.6
-99.5,0,10,438.6
-99.12,-8.67,10,438.58
-97.99,-17.28,10,438.71
-96.11,-25.75,10,438.79
-93.5,-34.03,10,438.92
-90.18,-42.05,10,439.02
-86.17,-49.75,10,439.22
-81.51,-57.07,10,439.42
-76.22,-63.96,10,439.63
-70.36,-70.36,10,439.76
-63.96,-76.22,10,439.99
-57.07,-81.51,10,440.16
-49.75,-86.17,10,440.36
-42.05,-90.18,10,440.51
-34.03,-93.5,10,440.59
-25.75,-96.11,10,440.67
-17.28,-97.99,10,440.76
-8.67,-99.12,10,440.7
0,-99.5,10,440.76
8.67,-99.12,10,440.81
17.28,-97.99,10,440.78
25.75,-96.11,10,440.77
34.03,-93.5,10,440.69
42.05,-90.18,10,440.52
49.75,-86.17,10,440.34
57.07,-81.51,10,440.21
63.96,-76.22,10,439.91
70.36,-70.36,10,439.72
76.22,-63.96,10,439.58
81.51,-57.07,10,439.27
86.17,-49.75,10,439.13
90.18,-42.05,10,438.93
93.5,-34.03,10,438.77
96.11,-25.75,10,438.61
97.99,-17.28,10,438.6
99.12,-8.67,10,438.46
97.98,0,20,438.18
97.61,8.54,20,438.3
96.49,17.01,20,438.32
94.64,25.36,20,438.42
92.07,33.51,20,438.41
88.8,41.41,20,438.57
84.85,48.99,20,438.74
80.26,56.2,20,438.88
75.06,62.98,20,439.04
69.28,69.28,20,439.28
62.98,75.06,20,439.43
56.2,80.26,20,439.62
48.99,84.85,20,439.79
41.41,88.8,20,439.89
33.51,92.07,20,440.07
25.36,94.64,20,440.14
17.01,96.49,20,440.23
8.54,97.61,20,440.23
0,97.98,20,440.26
-8.54,97.61,20,440.24
-17.01,96.49,20,440.22
-25.36,94.64,20,440.15
-33.51,92.07,20,440.1
-41.41,88.8,20,439.98
-48.99,84.85,20,439.84
-56.2,80.26,20,439.72
-62.98,75.06,20,439.56
-69.28,69.28,20,439.39
-75.06,62.98,20,439.21
-80.26,56.2,20,439.04
-84.85,48.99,20,438.92
-88.8,41.41,20,438.8
-92.07,33.51,20,438.62
-94.64,25.36,20,438.48
-96.49,17.01,20,438.46
-97.61,8.54,20,438.38
-97.98,0,20,438.27
-97.61,-8.54,20,438.3
-96.49,-17.01,20,438.4
-94.64,-25.36,20,438.56
-92.07,-33.51,20,438.62
-88.8,-41.41,20,438.67
-84.85,-48.99,20,438.89
-80.26,-56.2,20,439.05
-75.06,-62.98,20,439.23
-69.28,-69.28,20,439.43
-62.98,-75.06,20,439.65
-56.2,-80.26,20,439.77
-48.99,-84.85,20,439.93
-41.41,-88.8,20,440
-33.51,-92.07,20,440.09
-25.36,-94.64,20,440.28
-17.01,-96.49,20,440.38
-8.54,-97.61,20,440.33
0,-97.98,20,440.37
8.54,-97.61,20,440.43
17.01,-96.49,20,440.41
25.36,-94.64,20,440.3
33.51,-92.07,20,440.24
41.41,-88.8,20,440.19
48.99,-84.85,20,439.98
56.2,-80.26,20,439.85
62.98,-75.06,20,439.65
69.28,-69.28,20,439.49
75.06,-62.98,20,439.29
80.26,-56.2,20,439.1
84.85,-48.99,20,438.87
88.8,-41.41,20,438.72
92.07,-33.51,20,438.61
94.64,-25.36,20,438.49
96.49,-17.01,20,438.38
97.61,-8.54,20,438.3
95.39,0,30,437.97
94.87,9.97,30,437.96
93.31,19.83,30,438.01
90.72,29.48,30,438.11
87.14,38.8,30,438.22
82.61,47.69,30,438.43
77.17,56.07,30,438.64
70.89,63.83,30,438.89
63.83,70.89,30,439.13
56.07,77.17,30,439.29
47.7,82.61,30,439.5
38.8,87.14,30,439.66
29.48,90.72,30,439.7
19.83,93.31,30,439.84
9.97,94.87,30,439.91
0,95.39,30,439.96
-9.97,94.87,30,439.97
-19.83,93.31,30,439.94
-29.48,90.72,30,439.83
-38.8,87.14,30,439.77
-47.69,82.61,30,439.56
-56.07,77.17,30,439.53
-63.83,70.89,30,439.21
-70.89,63.83,30,439.04
-77.17,56.07,30,438.82
-82.61,47.69,30,438.63
-87.14,38.8,30,438.48
-90.72,29.48,30,438.34
-93.31,19.83,30,438.23
-94.87,9.97,30,438.1
-95.39,0,30,438.11
-94.87,-9.97,30,438.14
-93.31,-19.83,30,438.18
-90.72,-29.48,30,438.28
-87.14,-38.8,30,438.39
-82.61,-47.7,30,438.52
-77.17,-56.07,30,438.79
-70.89,-63.83,30,439.02
-63.83,-70.89,30,439.17
-56.07,-77.17,30,439.4
-47.7,-82.61,30,439.66
-38.8,-87.14,30,439.76
-29.48,-90.72,30,439.9
-19.83,-93.31,30,439.95
-9.97,-94.87,30,439.97
0,-95.39,30,440.02
9.97,-94.87,30,440.07
19.83,-93.31,30,439.98
29.48,-90.72,30,439.93
38.8,-87.14,30,439.77
47.7,-82.61,30,439.57
56.07,-77.17,30,439.36
63.83,-70.89,30,439.14
70.89,-63.83,30,438.99
77.17,-56.07,30,438.77
82.61,-47.7,30,438.61
87.14,-38.8,30,438.34
90.72,-29.48,30,438.23
93.31,-19.83,30,438.07
94.87,-9.97,30,438
91.65,0,40,437.54
91.15,9.58,40,437.57
89.65,19.06,40,437.59
87.16,28.32,40,437.74
83.73,37.28,40,437.84
79.37,45.82,40,437.99
74.15,53.87,40,438.13
68.11,61.33,40,438.43
61.33,68.11,40,438.64
53.87,74.15,40,438.81
45.83,79.37,40,438.96
37.28,83.73,40,439.09
28.32,87.16,40,439.14
19.06,89.65,40,439.25
9.58,91.15,40,439.3
0,91.65,40,439.37
-9.58,91.15,40,439.43
-19.06,89.65,40,439.39
-28.32,87.16,40,439.33
-37.28,83.73,40,439.22
-45.82,79.37,40,439.12
-53.87,74.15,40,438.99
-61.33,68.11,40,438.75
-68.11,61.33,40,438.54
-74.15,53.87,40,438.28
-79.37,45.82,40,438.12
-83.73,37.28,40,437.97
-87.16,28.32,40,437.86
-89.65,19.06,40,437.8
-91.15,9.58,40,437.74
-91.65,0,40,437.72
-91.15,-9.58,40,437.76
-89.65,-19.06,40,437.78
-87.16,-28.32,40,437.92
-83.73,-37.28,40,438.01
-79.37,-45.83,40,438.12
-74.15,-53.87,40,438.33
-68.11,-61.33,40,438.47
-61.33,-68.11,40,438.65
-53.87,-74.15,40,438.89
-45.83,-79.37,40,439.07
-37.28,-83.73,40,439.21
-28.32,-87.16,40,439.27
-19.06,-89.65,40,439.32
-9.58,-91.15,40,439.38
0,-91.65,40,439.42
9.58,-91.15,40,439.32
19.06,-89.65,40,439.36
28.32,-87.16,40,439.19
37.28,-83.73,40,439.17
45.83,-79.37,40,439.01
53.87,-74.15,40,438.83
61.33,-68.11,40,438.63
68.11,-61.33,40,438.36
74.15,-53.87,40,438.22
79.37,-45.83,40,438.04
83.73,-37.28,40,437.83
87.16,-28.32,40,437.68
89.65,-19.06,40,437.57
91.15,-9.58,40,437.47
86.6,0,50,437.01
86.13,9.05,50,436.94
84.71,18.01,50,437.1
82.36,26.76,50,437.14
79.11,35.22,50,437.25
75,43.3,50,437.46
70.06,50.9,50,437.63
64.36,57.95,50,437.8
57.95,64.36,50,437.96
50.9,70.06,50,438.23
43.3,75,50,438.38
35.22,79.11,50,438.56
26.76,82.36,50,438.63
18.01,84.71,50,438.74
9.05,86.13,50,438.84
0,86.6,50,438.85
-9.05,86.13,50,438.87
-18.01,84.71,50,438.81
-26.76,82.36,50,438.76
-35.22,79.11,50,438.7
-43.3,75,50,438.62
-50.9,70.06,50,438.45
-57.95,64.36,50,438.24
-64.36,57.95,50,438.06
-70.06,50.9,50,437.84
-75,43.3,50,437.67
-79.11,35.22,50,437.46
-82.36,26.76,50,437.37
-84.71,18.01,50,437.32
-86.13,9.05,50,437.21
-86.6,0,50,437.14
-86.13,-9.05,50,437.19
-84.71,-18.01,50,437.27
-82.36,-26.76,50,437.31
-79.11,-35.22,50,437.38
-75,-43.3,50,437.53
-70.06,-50.9,50,437.68
-64.36,-57.95,50,437.8
-57.95,-64.36,50,438.05
-50.9,-70.06,50,438.21
-43.3,-75,50,438.38
-35.22,-79.11,50,438.47
-26.76,-82.36,50,438.53
-18.01,-84.71,50,438.71
-9.05,-86.13,50,438.7
0,-86.6,50,438.7
9.05,-86.13,50,438.75
18.01,-84.71,50,438.67
26.76,-82.36,50,438.61
35.22,-79.11,50,438.52
43.3,-75,50,438.38
50.9,-70.06,50,438.18
57.95,-64.36,50,438
64.36,-57.95,50,437.8
70.06,-50.9,50,437.62
75,-43.3,50,437.48
79.11,-35.22,50,437.27
82.36,-26.76,50,437.21
84.71,-18.01,50,437.14
86.13,-9.05,50,437.08
80,0,60,436.47
79.4,9.75,60,436.46
77.62,19.35,60,436.48
74.69,28.67,60,436.61
70.64,37.56,60,436.72
65.53,45.89,60,436.89
59.45,53.53,60,437.08
52.48,60.38,60,437.34
44.74,66.32,60,437.46
36.32,71.28,60,437.65
27.36,75.18,60,437.78
18,77.95,60,437.97
8.36,79.56,60,437.93
-1.4,79.99,60,437.9
-11.13,79.22,60,437.95
-20.71,77.27,60,437.91
-29.97,74.17,60,437.91
-38.78,69.97,60,437.91
-47.02,64.72,60,437.75
-54.56,58.51,60,437.55
-61.28,51.42,60,437.31
-67.09,43.57,60,437.14
-71.9,35.07,60,436.92
-75.64,26.05,60,436.8
-78.25,16.63,60,436.71
-79.7,6.97,60,436.6
-79.95,-2.79,60,436.56
-79.02,-12.51,60,436.6
