X,Y,Z,Bz
20.0,10.0,-40.0,441.32000000000005
25.0,10.0,-40.0,441.8
-25.0,15.0,-40.0,442.705
-20.0,15.0,-40.0,442.375
-15.0,15.0,-40.0,441.795
-10.0,15.0,-40.0,441.255
-5.0,15.0,-40.0,441.0175
0.0,15.0,-40.0,440.75
5.0,15.0,-40.0,440.69250000000005
10.0,15.0,-40.0,440.695
15.0,15.0,-40.0,441.0325
20.0,15.0,-40.0,441.5
25.0,15.0,-40.0,442.06
-20.0,20.0,-40.0,442.64
-15.0,20.0,-40.0,442.005
-10.0,20.0,-40.0,441.52
-5.0,20.0,-40.0,441.145
0.0,20.0,-40.0,440.91
5.0,20.0,-40.0,440.63000000000005
10.0,20.0,-40.0,440.72999999999996
15.0,20.0,-40.0,441.09999999999997
20.0,20.0,-40.0,441.59
-15.0,25.0,-40.0,441.805
-10.0,25.0,-40.0,441.22999999999996
-5.0,25.0,-40.0,440.8
0.0,25.0,-40.0,440.58000000000004
5.0,25.0,-40.0,440.5866666666667
10.0,25.0,-40.0,440.63
15.0,25.0,-40.0,441.02
0.0,30.0,-40.0,440.84999999999997
-5.0,-35.0,-35.0,440.95500000000004
0.0,-35.0,-35.0,440.90999999999997
5.0,-35.0,-35.0,440.765
-15.0,-30.0,-35.0,441.695
-10.0,-30.0,-35.0,441.15
-5.0,-30.0,-35.0,441.01666666666665
0.0,-30.0,-35.0,440.88
5.0,-30.0,-35.0,440.87
10.0,-30.0,-35.0,441.0
15.0,-30.0,-35.0,441.30999999999995
-25.0,-25.0,-35.0,443.1825
-20.0,-25.0,-35.0,442.5233333333333
-15.0,-25.0,-35.0,442.00166666666667
-10.0,-25.0,-35.0,441.5
-5.0,-25.0,-35.0,441.26428571428573
0.0,-25.0,-35.0,441.1
5.0,-25.0,-35.0,441.04571428571427
10.0,-25.0,-35.0,441.14000000000004
15.0,-25.0,-35.0,441.37333333333333
20.0,-25.0,-35.0,441.78666666666663
25.0,-25.0,-35.0,442.29249999999996
-25.0,-20.0,-35.0,442.76000000000005
-20.0,-20.0,-35.0,442.67499999999995
-15.0,-20.0,-35.0,442.175
-10.0,-20.0,-35.0,441.745
-5.0,-20.0,-35.0,441.4525
0.0,-20.0,-35.0,441.21
5.0,-20.0,-35.0,441.15000000000003
10.0,-20.0,-35.0,441.23
15.0,-20.0,-35.0,441.475
20.0,-20.0,-35.0,441.79999999999995
25.0,-20.0,-35.0,442.2333333333333
-30.0,-15.0,-35.0,443.75
-25.0,-15.0,-35.0,443.23833333333334
-20.0,-15.0,-35.0,442.76250000000005
-15.0,-15.0,-35.0,442.28625
-10.0,-15.0,-35.0,441.87
-5.0,-15.0,-35.0,441.515
0.0,-15.0,-35.0,441.35
5.0,-15.0,-35.0,441.3125
10.0,-15.0,-35.0,441.315
15.0,-15.0,-35.0,441.54875
20.0,-15.0,-35.0,441.89250000000004
25.0,-15.0,-35.0,442.28166666666664
30.0,-15.0,-35.0,442.58000000000004
-30.0,-10.0,-35.0,443.64
-25.0,-10.0,-35.0,443.1766666666667
-20.0,-10.0,-35.0,442.73
-15.0,-10.0,-35.0,442.3075
-10.0,-10.0,-35.0,441.975
-5.0,-10.0,-35.0,441.7075
0.0,-10.0,-35.0,441.47
5.0,-10.0,-35.0,441.32500000000005
10.0,-10.0,-35.0,441.42
15.0,-10.0,-35.0,441.6325
20.0,-10.0,-35.0,441.985
25.0,-10.0,-35.0,442.3
30.0,-10.0,-35.0,442.54
-35.0,-5.0,-35.0,444.105
-30.0,-5.0,-35.0,443.64
-25.0,-5.0,-35.0,443.20714285714286
-20.0,-5.0,-35.0,442.75
-15.0,-5.0,-35.0,442.25125
-10.0,-5.0,-35.0,441.8825
-5.0,-5.0,-35.0,441.60249999999996
0.0,-5.0,-35.0,441.5125
5.0,-5.0,-35.0,441.37125000000003
10.0,-5.0,-35.0,441.44
15.0,-5.0,-35.0,441.595
20.0,-5.0,-35.0,441.86
25.0,-5.0,-35.0,442.22999999999996
30.0,-5.0,-35.0,442.68333333333334
35.0,-5.0,-35.0,443.0475
-35.0,0.0,-35.0,443.57
-30.0,0.0,-35.0,443.615
-25.0,0.0,-35.0,443.23249999999996
-20.0,0.0,-35.0,442.77
-15.0,0.0,-35.0,442.415
-10.0,0.0,-35.0,441.99
-5.0,0.0,-35.0,441.7475
0.0,0.0,-35.0,441.575
5.0,0.0,-35.0,441.5575
10.0,0.0,-35.0,441.54
15.0,0.0,-35.0,441.73749999999995
20.0,0.0,-35.0,441.995
25.0,0.0,-35.0,442.375
30.0,0.0,-35.0,442.79499999999996
35.0,0.0,-35.0,443.18333333333334
-35.0,5.0,-35.0,444.1275
-30.0,5.0,-35.0,443.66333333333336
-25.0,5.0,-35.0,443.20142857142855
-20.0,5.0,-35.0,442.7075
-15.0,5.0,-35.0,442.30875000000003
-10.0,5.0,-35.0,441.9
-5.0,5.0,-35.0,441.6625
0.0,5.0,-35.0,441.495
5.0,5.0,-35.0,441.48625
10.0,5.0,-35.0,441.5575
15.0,5.0,-35.0,441.75375
20.0,5.0,-35.0,442.02
25.0,5.0,-35.0,442.4214285714285
30.0,5.0,-35.0,442.7933333333333
35.0,5.0,-35.0,443.27
-30.0,10.0,-35.0,443.61
-25.0,10.0,-35.0,443.10333333333335
-20.0,10.0,-35.0,442.58500000000004
-15.0,10.0,-35.0,442.2025
-10.0,10.0,-35.0,441.8
-5.0,10.0,-35.0,441.5675
0.0,10.0,-35.0,441.41499999999996
5.0,10.0,-35.0,441.36499999999995
10.0,10.0,-35.0,441.455
15.0,10.0,-35.0,441.68
20.0,10.0,-35.0,442.015
25.0,10.0,-35.0,442.49333333333334
30.0,10.0,-35.0,442.97999999999996
-30.0,15.0,-35.0,443.48999999999995
-25.0,15.0,-35.0,443.1616666666667
-20.0,15.0,-35.0,442.7575
-15.0,15.0,-35.0,442.29625000000004
-10.0,15.0,-35.0,441.905
-5.0,15.0,-35.0,441.5625
0.0,15.0,-35.0,441.47
5.0,15.0,-35.0,441.40749999999997
10.0,15.0,-35.0,441.40500000000003
15.0,15.0,-35.0,441.6825
20.0,15.0,-35.0,442.06
25.0,15.0,-35.0,442.53
30.0,15.0,-35.0,442.99
-25.0,20.0,-35.0,443.25
-20.0,20.0,-35.0,442.74
