X,Y,Z
-0.096,-0.04467167917422796,0.061485291572496006
-0.096,-0.03246206488650695,0.06871836976605464
-0.096,-0.019120594044582644,0.07355544088225066
-0.096,-0.0051124444265150185,0.07582785050353066
-0.096,0.009073961065058565,0.07545636640197964
-0.096,0.022943984270416554,0.07245394113365317
-0.096,0.036014018347947895,0.06692526042111209
-0.096,0.04782834971978764,0.05906309307072979
-0.096,0.061485291572496006,0.04467167917422796
-0.096,0.06871836976605462,0.032462064886506964
-0.096,0.07355544088225065,0.019120594044582655
-0.096,0.07582785050353066,0.005112444426515035
-0.096,0.07545636640197964,-0.00907396106505857
-0.096,0.07245394113365317,-0.022943984270416544
-0.096,0.0669252604211121,-0.03601401834794786
-0.096,0.059063093070729794,-0.04782834971978763
-0.096,0.044671679174227964,-0.061485291572496
-0.096,0.03246206488650694,-0.06871836976605465
-0.096,0.01912059404458264,-0.07355544088225066
-0.096,0.005112444426515023,-0.07582785050353066
-0.096,-0.009073961065058549,-0.07545636640197964
-0.096,-0.022943984270416554,-0.07245394113365315
-0.096,-0.03601401834794789,-0.06692526042111209
-0.096,-0.04782834971978766,-0.05906309307072978
-0.096,-0.061485291572496,-0.044671679174227964
-0.096,-0.06871836976605464,-0.03246206488650694
-0.096,-0.07355544088225065,-0.01912059404458268
-0.096,-0.07582785050353066,-0.005112444426515094
-0.096,-0.07545636640197964,0.00907396106505851
-0.096,-0.07245394113365318,0.02294398427041652
-0.096,-0.06692526042111209,0.03601401834794788
-0.096,-0.05906309307072978,0.04782834971978765
-0.084,-0.04467167917422796,0.061485291572496006
-0.084,-0.03246206488650695,0.06871836976605464
-0.084,-0.019120594044582644,0.07355544088225066
-0.084,-0.0051124444265150185,0.07582785050353066
-0.084,0.009073961065058565,0.07545636640197964
-0.084,0.022943984270416554,0.07245394113365317
-0.084,0.036014018347947895,0.06692526042111209
-0.084,0.04782834971978764,0.05906309307072979
-0.084,0.061485291572496006,0.04467167917422796
-0.084,0.06871836976605462,0.032462064886506964
-0.084,0.07355544088225065,0.019120594044582655
-0.084,0.07582785050353066,0.005112444426515035
-0.084,0.07545636640197964,-0.00907396106505857
-0.084,0.07245394113365317,-0.022943984270416544
-0.084,0.0669252604211121,-0.03601401834794786
-0.084,0.059063093070729794,-0.04782834971978763
-0.084,0.044671679174227964,-0.061485291572496
-0.084,0.03246206488650694,-0.06871836976605465
-0.084,0.01912059404458264,-0.07355544088225066
-0.084,0.005112444426515023,-0.07582785050353066
-0.084,-0.009073961065058549,-0.07545636640197964
-0.084,-0.022943984270416554,-0.07245394113365315
-0.084,-0.03601401834794789,-0.06692526042111209
-0.084,-0.04782834971978766,-0.05906309307072978
-0.084,-0.061485291572496,-0.044671679174227964
-0.084,-0.06871836976605464,-0.03246206488650694
-0.084,-0.07355544088225065,-0.01912059404458268
-0.084,-0.07582785050353066,-0.005112444426515094
-0.084,-0.07545636640197964,0.00907396106505851
-0.084,-0.07245394113365318,0.02294398427041652
-0.084,-0.06692526042111209,0.03601401834794788
-0.084,-0.05906309307072978,0.04782834971978765
-0.07200000000000001,-0.04467167917422796,0.061485291572496006
-0.07200000000000001,-0.03246206488650695,0.06871836976605464
-0.07200000000000001,-0.019120594044582644,0.07355544088225066
-0.07200000000000001,-0.0051124444265150185,0.07582785050353066
-0.07200000000000001,0.009073961065058565,0.07545636640197964
-0.07200000000000001,0.022943984270416554,0.07245394113365317
-0.07200000000000001,0.036014018347947895,0.06692526042111209
-0.07200000000000001,0.04782834971978764,0.05906309307072979
-0.07200000000000001,0.061485291572496006,0.04467167917422796
-0.07200000000000001,0.06871836976605462,0.032462064886506964
-0.07200000000000001,0.07355544088225065,0.019120594044582655
-0.07200000000000001,0.07582785050353066,0.005112444426515035
-0.07200000000000001,0.07545636640197964,-0.00907396106505857
-0.07200000000000001,0.07245394113365317,-0.022943984270416544
-0.07200000000000001,0.0669252604211121,-0.03601401834794786
-0.07200000000000001,0.059063093070729794,-0.04782834971978763
-0.07200000000000001,0.044671679174227964,-0.061485291572496
-0.07200000000000001,0.03246206488650694,-0.06871836976605465
-0.07200000000000001,0.01912059404458264,-0.07355544088225066
-0.07200000000000001,0.005112444426515023,-0.07582785050353066
-0.07200000000000001,-0.009073961065058549,-0.07545636640197964
-0.07200000000000001,-0.022943984270416554,-0.07245394113365315
-0.07200000000000001,-0.03601401834794789,-0.06692526042111209
-0.07200000000000001,-0.04782834971978766,-0.05906309307072978
-0.07200000000000001,-0.061485291572496,-0.044671679174227964
-0.07200000000000001,-0.06871836976605464,-0.03246206488650694
-0.07200000000000001,-0.07355544088225065,-0.01912059404458268
-0.07200000000000001,-0.07582785050353066,-0.005112444426515094
