X,Y,Z,Mag,Bx,By,Bz
105.0,82.75,193.0,0.0458713504332968,-0.0455957205505371,0.00482759446907044,0.00138035853815079
100.0,62.75,198.0,0.0458006042964,-0.0455235973510742,0.00484344198036194,0.00135591589546204
105.0,62.75,198.0,0.0458058613699173,-0.0455293665161133,0.00482560780143738,0.00140257970476151
110.0,62.75,198.0,0.0458052970753,-0.0455286802825928,0.00481434173774719,0.00144451566791534
90.0,67.75,198.0,0.0457853363753928,-0.0455070039520264,0.0048814505558,0.00125740160226822
95.0,67.75,198.0,0.0458022470611922,-0.0455249467163,0.00485907536888123,0.00130936965417862
100.0,67.75,198.0,0.0458122141461495,-0.045536044052124,0.00483768468284607,0.0013507271986
105.0,67.75,198.0,0.0458166186477174,-0.0455405701904297,0.00482367952919006,0.00139682741975784
110.0,67.75,198.0,0.04581588070194,-0.045539284576416,0.00481684547233582,0.0014375272026
115.0,67.75,198.0,0.0458102356685,-0.0455324490661621,0.00481545277786255,0.00147823833847046
120.0,67.75,198.0,0.0457983567464854,-0.0455195524139404,0.00481228965568543,0.00151713446426392
90.0,72.75,198.0,0.045796643971354,-0.0455199984741211,0.00486702463531494,0.00125475461912155
95.0,72.75,198.0,0.0458118906106232,-0.0455358516998291,0.0048484162311554,0.00130705445194244
100.0,72.75,198.0,0.0458198937894548,-0.0455444941711426,0.00483142256355286,0.00134873036003113
105.0,72.75,198.0,0.0458231030778644,-0.0455474705047607,0.00482132662773132,0.0013926650176
110.0,72.75,198.0,0.0458214762469459,-0.0455450301208496,0.00481819976806641,0.00142928924131393
115.0,72.75,198.0,0.0458156940770313,-0.045537628692627,0.00482145891189575,0.00146824070692062
120.0,72.75,198.0,0.045805610585317,-0.0455259875183105,0.00482325949287415,0.00150817420768738
85.0,77.75,198.0,0.0457846113468964,-0.0455082603607178,0.00487668132591248,0.00120285259819031
90.0,77.75,198.0,0.0458050567958703,-0.0455291846313477,0.00486015904998779,0.0012551609005928
95.0,77.75,198.0,0.0458174173894618,-0.0455421956939697,0.00484178548431396,0.00130432393836975
100.0,77.75,198.0,0.0458241277995652,-0.0455492868652344,0.00482756253814697,0.00134454252433777
